,Model,Dataset,Stage,Accuracy,Precision,Recall,F1 Score,ROC AUC
0,Random_Classifier,Dataset,Simple models,0.5000263259896892,0.1116367713004484,0.4984807300505088,0.1824198753030637,
1,Most_Frequent_Class,Dataset,Simple models,0.8881050216545269,0.0,0.0,0.0,
2,Sentiment_Classifier,Dataset,Simple models,0.7002231547721738,0.2024103354844891,0.5710302502415314,0.2988786124138654,
3,Logistic_Regression,Dataset_Train_Bow,ML models w/o hyperparamets,0.9329519218482792,0.7946608875535636,0.5184905478472551,0.6275348719619216,0.9386284599705984
4,Logistic_Regression,Dataset_Val_Bow,ML models w/o hyperparamets,0.9204688271269984,0.7453912235895055,0.4822303001171628,0.585604319433804,0.906910356745128
5,Logistic_Regression,Dataset_Test_Bow,ML models w/o hyperparamets,0.9195851689207166,0.7458404200251424,0.4801599581062102,0.5842130414005822,0.907335262526806
6,SVM,Dataset_Train_Bow,ML models w/o hyperparamets,0.9457604511823056,0.8596503343576994,0.6000610593802473,0.706773534198872,0.9602374222425312
7,SVM,Dataset_Val_Bow,ML models w/o hyperparamets,0.9174826447843332,0.718121408045977,0.4804878781506294,0.5757483036051765,0.8901220516316223
8,SVM,Dataset_Test_Bow,ML models w/o hyperparamets,0.916190790929281,0.714169265664871,0.4796600890243032,0.5738818403178265,0.8888231201423803
9,MultinomialNB,Dataset_Train_Bow,ML models w/o hyperparamets,0.8921457940588028,0.5039978764316282,0.6254248045698125,0.5581838910678818,0.8637394671612696
10,MultinomialNB,Dataset_Val_Bow,ML models w/o hyperparamets,0.8775035095519326,0.4798152096659559,0.6084357256586655,0.536524630117753,0.8470613560525405
11,MultinomialNB,Dataset_Test_Bow,ML models w/o hyperparamets,0.8841766532889338,0.5067026872147521,0.5893218442788793,0.5448983185139537,0.8472635499130599
12,MultinomialNB,Dataset_Train_Bow_Bigrams,ML models w/o hyperparamets,0.9481978788690336,0.9507789194564136,0.553101575492693,0.6993605144328693,0.9010190125083546
13,MultinomialNB,Dataset_Val_Bow_Bigrams,ML models w/o hyperparamets,0.894905986017805,0.8476271547137689,0.1196563222879802,0.2097088400989838,0.6636060728774985
14,MultinomialNB,Dataset_Test_Bow_Bigrams,ML models w/o hyperparamets,0.8934887876301248,0.8674298375184638,0.111827854609507,0.1981149977860712,0.661106690563744
15,Logistic_Regression,Dataset_Train_TF-IDF,ML models w/o hyperparamets,0.9297863290501122,0.7875648341934561,0.4867477042476439,0.6016504796520289,0.9372278553440668
16,Logistic_Regression,Dataset_Val_TF-IDF,ML models w/o hyperparamets,0.9236195470665048,0.7793365482975303,0.4806380869408477,0.5945815370893415,0.9285541097844854
17,Logistic_Regression,Dataset_Test_TF-IDF,ML models w/o hyperparamets,0.9229851481959666,0.7811313444401394,0.4798981219204494,0.5945356158122116,0.9287701898012208
18,SVM,Dataset_Train_TF-IDF,ML models w/o hyperparamets,0.931077246765704,0.8043970384574411,0.4853176292892206,0.6053867161075339,0.9409770512171948
19,SVM,Dataset_Val_TF-IDF,ML models w/o hyperparamets,0.9240956558573634,0.7886385116649256,0.4762820320245141,0.5938939876381345,0.9270723664529308
20,SVM,Dataset_Test_TF-IDF,ML models w/o hyperparamets,0.9236489003279552,0.7914246196403872,0.4767084811120897,0.5950145582031018,0.9269923506215418
21,MultinomialNB,Dataset_Train_TF-IDF,ML models w/o hyperparamets,0.9033448334409828,0.9359348785186106,0.1210100506953538,0.2143111224939884,0.8810289735306819
22,MultinomialNB,Dataset_Val_TF-IDF,ML models w/o hyperparamets,0.8970904851758627,0.9091482649842272,0.1298705200228317,0.2272751169759739,0.8740173447808203
23,MultinomialNB,Dataset_Test_TF-IDF,ML models w/o hyperparamets,0.894768680981681,0.9320350535540408,0.113922544095594,0.2030288889831587,0.8760435937699693
24,MultinomialNB,Dataset_Train_TF-IDF_Bigrams,ML models w/o hyperparamets,0.905143366258299,0.8814379208953809,0.1493223212205448,0.2553811274088832,0.8743879222706361
25,MultinomialNB,Dataset_Val_TF-IDF_Bigrams,ML models w/o hyperparamets,0.8980006931583867,0.8312849162011173,0.1564574758914891,0.2633495145631068,0.8630500603881812
26,MultinomialNB,Dataset_Test_TF-IDF_Bigrams,ML models w/o hyperparamets,0.896225014773386,0.8814837617361859,0.1363214396229559,0.2361259998350787,0.8644300135705194
27,Logistic_Regression,Dataset_Train_Bow,ML models,0.8999989497618585,0.5258027986734611,0.8356136869421301,0.6454571688330225,0.9458065427302634
28,Logistic_Regression,Dataset_Val_Bow,ML models,0.8865075669790548,0.5083046306926904,0.7980292606723346,0.6210387272493483,0.9216237721906334
29,Logistic_Regression,Dataset_Test_Bow,ML models,0.8874842113812486,0.5140728476821192,0.7982195139368261,0.6253834749121154,0.9213868057946342
30,SVM,Dataset_Train_Bow,ML models,0.9046094952030372,0.5403176224169732,0.8331472093452988,0.6555160479780022,0.9505238632227552
31,SVM,Dataset_Val_Bow,ML models,0.8892066837272317,0.5162376904634528,0.7827079640700574,0.622140503366923,0.9189086294139184
32,SVM,Dataset_Test_Bow,ML models,0.8898815608537477,0.5213467821232595,0.7824855395015591,0.6257650026174273,0.9181950510607384
33,MultinomialNB,Dataset_Train_Bow,ML models,0.8977978256569678,0.5279552309313565,0.5836312656163382,0.5543989254533244,0.8553351262227993
34,MultinomialNB,Dataset_Val_Bow,ML models,0.8848761942103771,0.5053574284343515,0.5695917325081864,0.5355553986300402,0.8419855881714876
35,MultinomialNB,Dataset_Test_Bow,ML models,0.8908169752507274,0.5349632573831862,0.5510461545785628,0.5428856188075277,0.8422288054022745
36,MultinomialNB,Dataset_Train_Bow_Bigrams,ML models,0.971231351709,0.7993437822716637,0.9825579059846228,0.8815318578425543,0.9967869308164782
37,MultinomialNB,Dataset_Val_Bow_Bigrams,ML models,0.8754380375915897,0.4696689232071081,0.5335716646138132,0.4995851089264869,0.7932135455612614
38,MultinomialNB,Dataset_Test_Bow_Bigrams,ML models,0.879659217892741,0.4891481649297689,0.5139368260693628,0.501236201553087,0.7898725688756081
39,Logistic_Regression,Dataset_Train_TF-IDF,ML models,0.8852492302629621,0.4845950194040161,0.8396950244639227,0.6145361109641154,0.9414012114346396
40,Logistic_Regression,Dataset_Val_TF-IDF,ML models,0.8736211224264745,0.4755955789217982,0.8234445879772885,0.6029476462824461,0.929140449519139
41,Logistic_Regression,Dataset_Test_TF-IDF,ML models,0.875741119864673,0.4835668967440563,0.8254742805455714,0.6098693350684979,0.9293683446719057
42,SVM,Dataset_Train_TF-IDF,ML models,0.8877925569622912,0.4910108523702596,0.8204211490411267,0.614344757882578,0.9371791895658854
43,SVM,Dataset_Val_TF-IDF,ML models,0.8785257431323057,0.4873299594415132,0.8157839396761498,0.6101630172229775,0.9303273784137112
44,SVM,Dataset_Test_TF-IDF,ML models,0.8803845841466864,0.494964049509373,0.8176668015519745,0.6166481168994363,0.9304444857666092
45,MultinomialNB,Dataset_Train_TF-IDF,ML models,0.905143366258299,0.8814379208953809,0.1493223212205448,0.2553811274088832,0.8743879222706361
46,MultinomialNB,Dataset_Val_TF-IDF,ML models,0.8980006931583867,0.8312849162011173,0.1564574758914891,0.2633495145631068,0.8630500603881812
47,MultinomialNB,Dataset_Test_TF-IDF,ML models,0.896225014773386,0.8814837617361859,0.1363214396229559,0.2361259998350787,0.8644300135705194
48,MultinomialNB,Dataset_Train_TF-IDF_Bigrams,ML models,0.9060903309825504,0.8707671043538355,0.1619680402349179,0.2731318714816997,0.8720520174093295
49,MultinomialNB,Dataset_Val_TF-IDF_Bigrams,ML models,0.8988513875420534,0.8209173239848087,0.1688346802054856,0.2800687713353101,0.8590946401391214
50,MultinomialNB,Dataset_Test_TF-IDF_Bigrams,ML models,0.8970091945073811,0.8698968780901257,0.1465806574468591,0.25088612752088,0.8601914771220335
51,Logistic_Regression,Dataset_Train_Bow,ML models optuna,0.9028415943315148,0.5340138117915896,0.8486370100185588,0.6555290423277303,0.9504333778852688
52,Logistic_Regression,Dataset_Val_Bow,ML models optuna,0.8868576469723332,0.5092787853226487,0.7980593024303783,0.6217743917424429,0.9199495739730938
53,Logistic_Regression,Dataset_Test_Bow,ML models optuna,0.8876774556728402,0.5146216784612314,0.7979814810406798,0.6257162588424138,0.9196962544603922
54,SVM,Dataset_Train_Bow,ML models optuna,0.9062391147192626,0.5456306386920866,0.8328178100571226,0.6593078094838305,0.9498175897650952
55,SVM,Dataset_Val_Bow,ML models optuna,0.8908310548960438,0.5210801708065195,0.7808453750713492,0.6250480954213159,0.9203979242545844
56,SVM,Dataset_Test_Bow,ML models optuna,0.8916291614037938,0.5266345381526104,0.7803432434362428,0.6288641006704329,0.9198991419750856
57,MultinomialNB,Dataset_Train_Bow,ML models optuna,0.8951205935945976,0.5159145545710557,0.6034594959387478,0.556263631280572,0.8594360531526379
58,MultinomialNB,Dataset_Val_Bow,ML models optuna,0.8814839190755087,0.4928888554443524,0.590320545558326,0.5372228449572135,0.8446339720744815
59,MultinomialNB,Dataset_Test_Bow,ML models optuna,0.8879043076673173,0.5216217393197753,0.5702316060079503,0.5448446046601544,0.8448928555606754
60,MultinomialNB,Dataset_Train_Bow_Bigrams,ML models optuna,0.9697303863651084,0.7936374149793206,0.9758815448023204,0.8753747477659268,0.9953924720959344
61,MultinomialNB,Dataset_Val_Bow_Bigrams,ML models optuna,0.8842285462228119,0.503230993716685,0.5076756691801604,0.5054435604474488,0.7926126996270578
62,MultinomialNB,Dataset_Test_Bow_Bigrams,ML models optuna,0.8879715230730884,0.5258434478502366,0.4867534693294613,0.5055439498634099,0.7892100150189653
63,Logistic_Regression,Dataset_Train_TF-IDF,ML models optuna,0.8845219403499743,0.4825984134669099,0.8328660148310021,0.6110994850815116,0.939255167842648
64,Logistic_Regression,Dataset_Val_TF-IDF,ML models optuna,0.8740447192183414,0.4765798997772829,0.8228437528164149,0.6035765048094404,0.92911612583991
65,Logistic_Regression,Dataset_Test_TF-IDF,ML models optuna,0.8754862614511246,0.4829145728643216,0.8234986075075575,0.6088111851193566,0.9292721987236882
66,SVM,Dataset_Train_TF-IDF,ML models optuna,0.8889504445132934,0.4940129257364894,0.8008098402011746,0.6110649619754963,0.930878418316651
67,SVM,Dataset_Val_TF-IDF,ML models optuna,0.8813473878781302,0.4943778528222065,0.800432601315829,0.611234099172985,0.926032912125042
68,SVM,Dataset_Test_TF-IDF,ML models optuna,0.8819529436146765,0.4989692556394323,0.8008378757944348,0.6148504175880407,0.925987161500628
