,toxic,comment_text
99390,0,"Once again, it's past time to move on and focus on Trump. Your pointing out the past adds nothing of value to the present-day discussion IMO."
2292,1,"I know a few that were popped, the cops just enlist them as narcs so they don't end up in jail or lots of publicity so that they can still pull controlled buys etc....the grimiest of the grimey....#drugskill #sodocrazydrugdealersthough"
51295,0,"""Rail’s last segment fraught with risk""

Duh! Hardly a surprise or unexpected."
64609,0,"Well let's see there, Clark.  Since President Obama has been our president, his administration saved the nation from going over the Republicans in Congress' fiscal cliff by jump starting the nation's economy toward recovery.  Instead of letting the nation's auto industry go bankrupt like Romney suggested, not only did Obama authorize an auto industry loan, but that loan was paid back in far less time expected and the industry has been thriving ever since.  Saving the auto industry kept millions of American families working.  The nation's unemployment rate was over 9% under two terms of Bush/Chaney and now it's down to 4.5%.  In the past seven years under the Obama administration there hasn't been long lines of unemployed workers spilling out into the streets like we've seen whenever there's a Republican in the White House.  President Obama's successes were done without the help of the Just Say No Republicans in Congress.  So much for voodoo economics, Clark!"
85753,0,Mychal Judge.
65017,0,"http://a5.img.talkingpointsmemo.com/image/upload/w_652/q8qejhorktbjb6cedqo0.jpg

We'll tell KellyAnne and Sean you said that.  Should clear up any confusion, eh?

You've earned a place in the Leadership Matters For America Org."
5251,0,"""The switch from a single venue to a variety of sites allows the tour to showcase more builders and more communities"" —  all still out of reach financially by the majority of Coloradans. Who wants a $750k+ home trampled through by 10s of thousands of dreamers anyway!?!"
29586,0,"HATRs own numbers estimates indicate when you do the math, their daily trips  vs dail revenues vs the number of trips each rider  must make to make a round trip  puts their blended bus rail  pass at $240 a month and a single fare good for upto three trips at $10.00 each."
36870,1,"What is the ""Canadian stupidity"" in your comment?  You dont agree with sending them back?  If we don't they will just keep coming."
65069,0,"The only time North Korea ever "" compromised"" was to sign the Armistice on the 27 of July 1953 after it failed in its invasion of South Korea on the 25 th of June 1950.

Since then it has led foreign diplomatic negotiators by the nose, making pseudo compromises, as it built up its military capacity , nuclear capacity and the intercontinental missiles to deliver their load wherever as it rattles its saber threatening South Korea , Japan and the USA.

President Trump is a negotiator, not a diplomat, he sent an undiplomatic message to the North Koreans that they had better understand ...this President means it."
72433,0,"Love your writing style, John. Very Alaskan."
7329,0,"When prices in Vancouver, Toronto, Calgary, and now other cities, are moving ever further above traditional levels vs. income, you have to look primarily at the excess demand from very well-off immigrants, and especially ""unofficial immigrants"" who come here on visitor's visas and stay forever.  We seem to have given up, assuming this cannot be stopped.  But we have every right to limit entry to the numbers stated in current immigration policy, and to accept based on the points system (skills, education, English/French),  We do NOT have to continue to let money buy its way into Canada. 
How can any federal Liberal look a young voter in the eye??  Their idiotic openness to rich quasi-immigrants means a 25 year old Canadian couple can't even dream of a little apartment in Vancouver, let alone a tiny little house in Burnaby.  An increase in supply and density would also help, IF accompanied by cutting off the foreign high-$$ demand.  Take immigrants from all over, by skills ONLY!"
32293,1,"Well I have to say: WHO CARES? If you make the decision to try or do ANY drugs, prescription or otherwise, you run the risk of injury or death. Unless it was forced upon you, YOU are responsible for your actions, which may or may not include death. 

I really could not care less about people dying in the streets because of overdoses. It is Darwinism at work. I, personally, will NOT die that way... ever. Why? Simply because I don't do stupid things for a few minutes of an altered state. 

Let the drugs flow... let the idiots die... and STOP using tax dollars to fix this ""problem!?"
17629,0,I imagine they are working more than one job with what you currently pay them
87559,0,"Aloha. Regarding some of the specific items in some of the posts, I wonder if some of the points here are wholly accurate. Without going into detail, I believe the Morgan Report shed a lot of light on some of the items which oftentimes are overlooked or perhaps don't tell the whole story. Overall, I think that mistakes were made by many; both indigenous Hawaiian and others, that have led to animosity today. Both groups have points with merit from what I can discern from reading as much as possible on the topic. Clearly, both sides are emotional and there is a problem. That's why I like Keala's post.  That type of dialogue is encouraging as it takes the emotion out and looks for a solution based on mature conversations. The solution probably wouldn't come quickly or without airing of feelings, but with this type of goal in mind, a resolution would at least come.
http://morganreport.org/mediawiki/index.php?title=The_Rest_of_The_Rest_of_The_Story"
38084,0,"""A few years from now....?.""  What kind of prognosis is that?  And why ignore the turbine in the room, the huge exponential growth, popularity and increasingly cheaper renewable energy.. Fossils have to go, and quickly, we cannot fool with this. Prognosis about oil prices , ignoring this vital factor are not worth bothering about."
